Time,RPx,RPy,RPz
1.021388,2.45366,1.161509,-3.663911
2.031579,4.222246,0.7345144,-3.853825
3.042356,5.105834,-0.4391463,-3.95656
4.06395,3.989216,-1.29014,-4.944358
5.085374,2.653277,-1.689436,-5.915895
6.096609,2.670649,-1.606021,-5.955716
7.11856,3.387741,-1.691947,-5.316829
8.130607,2.769607,-1.431612,-5.277146
9.140942,3.425513,-1.929601,-4.684577
10.15314,4.904271,-2.212291,-4.116115
11.17576,3.952555,-1.02823,-5.265515
12.19824,3.143126,-0.9340831,-5.777132
13.21911,3.139258,-0.942266,-5.770646
14.2427,2.830196,-0.457191,-5.57923
15.26233,2.165129,0.6069207,-5.656246
16.28378,2.350908,0.647311,-5.355912
17.29535,3.775229,-0.08436048,-4.803333
18.31747,2.188088,-0.278702,-5.6738
19.33801,2.094697,-0.4838759,-5.311983
20.34872,1.70581,0.3468979,-5.67923
21.35804,1.620701,0.3939107,-5.859552
22.36987,1.58535,0.3791949,-5.989219
23.3933,1.867772,0.291414,-5.217418
24.41415,3.548084,-0.1881011,-3.946067
25.43502,5.054909,-0.7086775,-2.56364
26.44589,4.37838,-1.699286,-3.28411
27.45659,2.842929,-2.258716,-5.338132
28.46732,2.761547,-2.264012,-5.419169
29.4895,2.841744,-2.20461,-5.345448
30.49888,2.693708,-2.253475,-4.798349
31.52051,2.374834,-2.047075,-4.768239
32.53392,2.435791,-1.902483,-4.533541
33.55204,3.50034,-1.845543,-4.432918
34.5636,2.996447,-1.594733,-5.740034
35.57718,2.986731,-1.546463,-5.577851
Time,RRx,RRy,RRz
1.021388,358.8581,234.5843,2.674088
2.031579,23.92189,233.8606,3.786735
3.042356,27.79703,236.2628,10.82222
4.06395,335.1706,260.6613,8.40463
5.085374,339.9494,275.8318,2.960348
6.096609,309.6284,288.5626,1.849106
7.11856,9.821192,257.915,3.875034
8.130607,10.25132,253.9077,4.710448
9.140942,20.18991,233.4107,8.153027
10.15314,344.8419,243.8661,8.540176
11.17576,11.57403,246.8583,11.0981
12.19824,2.960766,262.2938,5.24253
13.21911,7.301615,263.8709,4.919168
14.2427,331.2851,272.8647,0.1534508
15.26233,342.2107,276.5602,1.15286
16.28378,341.2943,274.6751,5.045383
17.29535,11.70645,246.122,2.593058
18.31747,10.49753,260.223,3.013365
19.33801,349.6781,246.7471,356.9765
20.34872,350.5452,236.333,4.19625
21.35804,4.712645,237.7086,11.62104
22.36987,357.0807,254.1145,21.25293
23.3933,359.8255,224.6203,10.00772
24.41415,342.2279,224.7027,356.4432
25.43502,11.34379,216.0265,4.751674
26.44589,17.33366,222.1046,6.801825
27.45659,13.37594,232.7107,7.714428
28.46732,5.044038,239.2629,4.946073
29.4895,304.7932,254.8423,350.2418
30.49888,325.3069,230.9391,6.303563
31.52051,5.468924,241.4687,2.868484
32.53392,350.4274,219.8734,3.916151
33.55204,8.785699,221.046,7.217314
34.5636,21.46819,244.6258,4.029718
35.57718,16.94674,269.099,357.8956
Time,RVx,RVy,RVz
1.021388,0.2705548,-0.2231872,0.2543697
2.031579,1.768586,-0.4269949,-0.1899142
3.042356,0.8835883,-1.173661,-0.1027346
4.06395,-1.116618,-0.8509936,-0.9877987
5.085374,-1.335939,-0.3992958,-0.9715362
6.096609,0.01737189,0.08341479,-0.03982162
7.11856,0.717092,-0.08592629,0.6388869
8.130607,-0.6181338,0.260335,0.03968334
9.140942,0.6559057,-0.4979892,0.5925694
10.15314,1.478758,-0.2826891,0.5684614
11.17576,-0.9517157,1.18406,-1.1494
12.19824,-0.8094287,0.09414709,-0.5116167
13.21911,-0.003868341,-0.008182883,0.006485939
14.2427,-0.3090622,0.485075,0.1914158
15.26233,-0.665067,1.064112,-0.07701635
16.28378,0.1857793,0.04039031,0.300334
17.29535,1.424321,-0.7316715,0.5525789
18.31747,-1.587141,-0.1943415,-0.8704667
19.33801,-0.09339166,-0.2051739,0.3618169
20.34872,-0.3888868,0.8307738,-0.3672466
21.35804,-0.08510852,0.04701281,-0.1803222
22.36987,-0.03535187,-0.01471585,-0.1296668
23.3933,0.2824229,-0.08778083,0.771801
24.41415,1.680312,-0.4795151,1.271351
25.43502,1.506824,-0.5205765,1.382427
26.44589,-0.6765289,-0.9906089,-0.7204702
27.45659,-1.53545,-0.5594296,-2.054022
28.46732,-0.08138227,-0.00529623,-0.08103752
29.4895,0.08019733,0.05940223,0.07372093
30.49888,-0.1480367,-0.04886484,0.5470996
31.52051,-0.3188739,0.2064002,0.03010988
32.53392,0.06095743,0.1445918,0.2346978
33.55204,1.064549,0.0569396,0.1006236
34.5636,-0.5038939,0.2508101,-1.307117
35.57718,-0.009716034,0.0482707,0.1621828
Time,RAVx,RAVy,RAz
1.021388,343.5066,-45.48563,0.09132457
2.031579,-334.9362,-0.7236633,1.112647
3.042356,3.875145,2.402252,7.035488
4.06395,307.3735,24.39841,-2.417593
5.085374,4.778809,15.17059,-5.444282
6.096609,-30.32095,12.73071,-1.111242
7.11856,-299.8072,-30.64752,2.025928
8.130607,0.4301252,-4.007294,0.8354142
9.140942,9.938594,-20.49707,3.442578
10.15314,324.6519,10.45541,0.3871498
11.17576,-333.2678,2.992188,2.557925
12.19824,-8.613268,15.43555,-5.855572
13.21911,4.340849,1.577057,-0.3233619
14.2427,323.9835,8.993805,-4.765717
15.26233,10.92557,3.695496,0.999409
16.28378,-0.9164124,-1.88504,3.892524
17.29535,-329.5878,-28.55318,-2.452326
18.31747,-1.208916,14.10106,0.4203069
19.33801,339.1806,-13.47588,353.9631
20.34872,0.8670959,-10.41414,-352.7802
21.35804,-345.8326,1.375626,7.424793
22.36987,352.368,16.4059,9.631883
23.3933,2.744873,-29.49425,-11.24521
24.41415,-17.59763,0.0823822,346.4355
25.43502,-330.8841,-8.676178,-351.6915
26.44589,5.989875,6.07811,2.050151
27.45659,-3.957718,10.60606,0.9126029
28.46732,-8.331905,6.552277,-2.768355
29.4895,299.7491,15.57936,345.2957
30.49888,20.5137,-23.90315,-343.9382
31.52051,-319.8379,10.52959,-3.435079
32.53392,344.9585,-21.59534,1.047667
33.55204,-341.6417,1.172638,3.301163
34.5636,12.68249,23.57976,-3.187596
35.57718,-4.52145,24.47324,353.8659
Time,SMx,SMy,SMz
1.021388,343.5066,-45.48563,0.09132457
2.031579,-334.9362,-0.7236633,1.112647
3.042356,3.875145,2.402252,7.035488
4.06395,307.3735,24.39841,-2.417593
5.085374,4.778809,15.17059,-5.444282
6.096609,-30.32095,12.73071,-1.111242
7.11856,-299.8072,-30.64752,2.025928
8.130607,0.4301252,-4.007294,0.8354142
9.140942,9.938594,-20.49707,3.442578
10.15314,324.6519,10.45541,0.3871498
11.17576,-333.2678,2.992188,2.557925
12.19824,-8.613268,15.43555,-5.855572
13.21911,4.340849,1.577057,-0.3233619
14.2427,323.9835,8.993805,-4.765717
15.26233,10.92557,3.695496,0.999409
16.28378,-0.9164124,-1.88504,3.892524
17.29535,-329.5878,-28.55318,-2.452326
18.31747,-1.208916,14.10106,0.4203069
19.33801,339.1806,-13.47588,353.9631
20.34872,0.8670959,-10.41414,-352.7802
21.35804,-345.8326,1.375626,7.424793
22.36987,352.368,16.4059,9.631883
23.3933,2.744873,-29.49425,-11.24521
24.41415,-17.59763,0.0823822,346.4355
25.43502,-330.8841,-8.676178,-351.6915
26.44589,5.989875,6.07811,2.050151
27.45659,-3.957718,10.60606,0.9126029
28.46732,-8.331905,6.552277,-2.768355
29.4895,299.7491,15.57936,345.2957
30.49888,20.5137,-23.90315,-343.9382
31.52051,-319.8379,10.52959,-3.435079
32.53392,344.9585,-21.59534,1.047667
33.55204,-341.6417,1.172638,3.301163
34.5636,12.68249,23.57976,-3.187596
35.57718,-4.52145,24.47324,353.8659
Time,SVx,SVy,SVz
1.021388,0.2336304,-0.2537678,0.308104
2.031579,1.815483,-0.3765321,-0.1619673
3.042356,0.8751526,-1.159685,-0.06704569
4.06395,-1.171833,-0.9406821,-1.03305
5.085374,-1.337287,-0.394515,-0.9954391
6.096609,-0.05686736,0.0689311,-0.02350569
7.11856,0.8190849,-0.02737999,0.6285434
8.130607,-0.625164,0.2605381,0.04425287
9.140942,0.6540911,-0.4749651,0.6387548
10.15314,1.459235,-0.3474152,0.5430112
11.17576,-0.9195168,1.232534,-1.119027
12.19824,-0.8108139,0.07413173,-0.5586228
13.21911,0,0,0
14.2427,-0.3559597,0.4319112,0.159482
15.26233,-0.6533827,1.079971,-0.07349539
16.28378,0.1935192,0.03682756,0.310719
17.29535,1.448987,-0.6856753,0.5287614
18.31747,-1.579465,-0.1977594,-0.8968554
19.33801,-0.1308222,-0.2396069,0.3444548
20.34872,-0.4048445,0.8351609,-0.3135896
21.35804,-0.07401657,0.07867134,-0.1082168
22.36987,0,0,0
23.3933,0.2353553,-0.1213429,0.5836277
24.41415,1.690463,-0.5085099,1.128082
25.43502,1.513636,-0.4729124,1.443169
26.44589,-0.6695547,-0.9773352,-0.6759698
27.45659,-1.526057,-0.5677741,-2.064494
28.46732,-0.08870411,-0.02097893,-0.1048942
29.4895,0,0,0
30.49888,-0.1279991,-0.03741241,0.5933509
31.52051,-0.2548852,0.2574332,0.06805182
32.53392,0.02557111,0.1192038,0.2373142
33.55204,1.0817,0.08788276,0.1323047
34.5636,-0.4558766,0.2740154,-1.336033
35.57718,0.01073527,0.03879642,0.09926176
Time,LCPx,LCPy,LCPz
1.021388,343.5066,-45.48563,0.09132457
2.031579,-334.9362,-0.7236633,1.112647
3.042356,3.875145,2.402252,7.035488
4.06395,307.3735,24.39841,-2.417593
5.085374,4.778809,15.17059,-5.444282
6.096609,-30.32095,12.73071,-1.111242
7.11856,-299.8072,-30.64752,2.025928
8.130607,0.4301252,-4.007294,0.8354142
9.140942,9.938594,-20.49707,3.442578
10.15314,324.6519,10.45541,0.3871498
11.17576,-333.2678,2.992188,2.557925
12.19824,-8.613268,15.43555,-5.855572
13.21911,4.340849,1.577057,-0.3233619
14.2427,323.9835,8.993805,-4.765717
15.26233,10.92557,3.695496,0.999409
16.28378,-0.9164124,-1.88504,3.892524
17.29535,-329.5878,-28.55318,-2.452326
18.31747,-1.208916,14.10106,0.4203069
19.33801,339.1806,-13.47588,353.9631
20.34872,0.8670959,-10.41414,-352.7802
21.35804,-345.8326,1.375626,7.424793
22.36987,352.368,16.4059,9.631883
23.3933,2.744873,-29.49425,-11.24521
24.41415,-17.59763,0.0823822,346.4355
25.43502,-330.8841,-8.676178,-351.6915
26.44589,5.989875,6.07811,2.050151
27.45659,-3.957718,10.60606,0.9126029
28.46732,-8.331905,6.552277,-2.768355
29.4895,299.7491,15.57936,345.2957
30.49888,20.5137,-23.90315,-343.9382
31.52051,-319.8379,10.52959,-3.435079
32.53392,344.9585,-21.59534,1.047667
33.55204,-341.6417,1.172638,3.301163
34.5636,12.68249,23.57976,-3.187596
35.57718,-4.52145,24.47324,353.8659
Time,LCRx,LCRy,LCRz
1.021388,291.7208,255.0301,6.584901
2.031579,294.5892,267.2795,356.9232
3.042356,289.8534,16.77847,255.0176
4.06395,293.2856,358.5792,315.0767
5.085374,294.4388,14.8059,303.2148
6.096609,282.2217,46.50615,272.9286
7.11856,296.7238,222.569,44.74958
8.130607,275.5074,96.90778,191.9624
9.140942,293.3289,200.722,51.46925
10.15314,291.1088,252.4735,13.33374
11.17576,284.5344,27.25331,291.9586
12.19824,280.7469,13.5684,301.0971
13.21911,279.1383,2.474697,310.8568
14.2427,285.3539,309.8079,357.867
15.26233,283.2313,304.6057,1.400188
16.28378,279.9396,193.3478,74.13921
17.29535,291.0218,222.5882,49.74697
18.31747,289.9567,324.6427,344.0588
19.33801,291.8726,211.9632,29.01705
20.34872,296.4041,18.26663,297.7552
21.35804,289.1021,17.09068,292.9948
22.36987,280.7358,58.97493,259.1388
23.3933,290.6586,212.9615,37.76464
24.41415,297.8965,211.8701,22.88768
25.43502,297.5832,193.4153,34.7767
26.44589,283.0812,320.1414,336.0704
27.45659,284.9486,316.8814,337.9031
28.46732,283.6181,322.4486,331.7089
29.4895,282.7043,355.9398,290.7092
30.49888,300.0602,195.4321,48.37766
31.52051,283.8109,240.9454,46.74643
32.53392,308.2146,198.1596,49.85358
