Time,RPx,RPy,RPz
1.021368,2.120584,1.374371,-3.908379
2.042546,2.14178,1.34542,-3.750685
3.054709,2.92,1.121493,-3.474898
4.066117,3.891516,0.8984305,-1.944346
5.087234,4.286448,0.6705213,1.618895
6.108851,2.863521,0.4845656,4.877478
7.130345,2.821981,0.5310842,4.906533
8.153047,2.814485,0.5094632,4.860063
9.17614,2.823236,0.5073271,4.841832
10.19509,2.822162,0.5042028,4.839739
11.20681,2.815954,0.4986116,4.837208
Time,RRx,RRy,RRz
1.021368,19.29584,224.1633,359.6979
2.042546,24.25752,328.9144,358.113
3.054709,26.6113,315.8948,355.9598
4.066117,18.80018,297.1299,356.3498
5.087234,354.2081,242.7537,355.1429
6.108851,21.41122,201.798,358.1768
7.130345,352.167,239.6308,356.5138
8.153047,3.713681,230.2173,357.6015
9.17614,3.46004,228.5377,0.4122002
10.19509,4.719463,230.3483,2.221593
11.20681,7.418728,233.4862,3.716091
Time,RVx,RVy,RVz
1.021368,-0.001485825,0.01299119,0.02652097
2.042546,0.02119637,-0.02895153,0.1576931
3.054709,0.7782202,-0.2239264,0.2757876
4.066117,0.9715159,-0.2230626,1.530552
5.087234,0.3949316,-0.2279092,3.563241
6.108851,-1.422926,-0.1859557,3.258583
7.130345,-0.04154062,0.04651856,0.02905464
8.153047,-0.007496119,-0.02162099,-0.04646969
9.17614,0.008750916,-0.002136052,-0.01823139
10.19509,-0.001073599,-0.003124356,-0.002092361
11.20681,-0.006207705,-0.005591154,-0.002531052
Time,RAVx,RAVy,RAz
1.021368,-5.825579,1.342514,358.5537
2.042546,4.961678,104.7511,-1.584869
3.054709,2.353777,-13.01959,-2.153259
4.066117,-7.811117,-18.76492,0.3899841
5.087234,335.408,-54.37625,-1.206909
6.108851,-332.7969,-40.95567,3.033997
7.130345,330.7557,37.83284,-1.663086
8.153047,-348.4533,-9.413544,1.087738
9.17614,-0.2536409,-1.679581,-357.1893
10.19509,1.259423,1.810638,1.809393
11.20681,2.699265,3.137894,1.494498
Time,SMx,SMy,SMz
1.021368,-5.825579,1.342514,358.5537
2.042546,4.961678,104.7511,-1.584869
3.054709,2.353777,-13.01959,-2.153259
4.066117,-7.811117,-18.76492,0.3899841
5.087234,335.408,-54.37625,-1.206909
6.108851,-332.7969,-40.95567,3.033997
7.130345,330.7557,37.83284,-1.663086
8.153047,-348.4533,-9.413544,1.087738
9.17614,-0.2536409,-1.679581,-357.1893
10.19509,1.259423,1.810638,1.809393
11.20681,2.699265,3.137894,1.494498
Time,SVx,SVy,SVz
1.021368,0,0,0
2.042546,0,0,0
3.054709,0.7960751,-0.22277,0.281703
4.066117,0.9833825,-0.2493972,1.554771
5.087234,0.3945928,-0.2814238,3.55117
6.108851,-1.443167,-0.1367224,3.341013
7.130345,0,0,0
8.153047,0,0,0
9.17614,0,0,0
10.19509,0,0,0
11.20681,0,0,0
Time,LCPx,LCPy,LCPz
1.021368,-5.825579,1.342514,358.5537
2.042546,4.961678,104.7511,-1.584869
3.054709,2.353777,-13.01959,-2.153259
4.066117,-7.811117,-18.76492,0.3899841
5.087234,335.408,-54.37625,-1.206909
6.108851,-332.7969,-40.95567,3.033997
7.130345,330.7557,37.83284,-1.663086
