Time,RPx,RPy,RPz
1.015216,2.0512,1.442563,-3.919568
2.036808,1.953994,1.410693,-4.031619
3.059085,1.994844,1.416818,-4.045119
4.069881,2.025897,1.43218,-3.908112
5.091102,1.987686,1.43023,-3.806469
6.104456,1.976229,1.425119,-3.839711
7.125914,1.986622,1.437063,-3.836226
8.146507,1.976318,1.423536,-3.86336
9.157208,2.071004,1.433664,-3.940246
10.16924,2.063314,1.395948,-3.892242
11.19207,2.098035,1.353302,-3.939679
12.21152,2.093645,1.333874,-4.101435
13.23492,2.041516,1.312053,-4.119046
14.25607,2.178266,1.375148,-3.969687
15.27894,2.117156,1.381116,-3.859704
16.2999,2.097915,1.342456,-3.880116
17.32173,2.169404,1.396693,-3.8647
18.33376,2.160675,1.37992,-3.851749
19.3544,2.16822,1.387624,-3.908111
20.37681,2.606793,1.237739,-3.440676
21.39863,4.430327,1.010171,-2.942948
22.42015,6.323863,1.063863,-2.802223
23.43108,7.958773,0.9447238,-2.395042
24.44448,8.171373,0.9459602,-2.171752
25.46397,8.051061,1.070872,-1.631009
26.47465,7.522725,0.8439925,-1.570807
27.49497,7.445344,0.7529311,-1.914329
28.50654,7.479182,0.7224056,-1.959602
29.51762,7.469914,0.7148222,-1.964108
30.53881,7.442089,0.7429381,-1.925756
31.55988,7.439454,0.7592716,-1.87092
32.5711,6.083116,0.799711,-1.755703
33.59431,4.28918,0.7092617,-1.762062
34.61479,3.063416,0.4523391,-2.560048
35.63556,1.783291,0.4876791,-3.39801
36.64635,1.067239,0.6325012,-3.820821
37.65758,0.9964057,0.7740499,-3.586495
38.67013,1.940618,1.37822,-3.231042
39.69235,3.072407,1.738729,-2.826863
40.71266,3.191913,1.773169,-2.670548
41.72357,3.163295,1.762667,-2.6459
42.74546,3.178819,1.792359,-2.650587
43.76798,3.17776,1.787979,-2.664687
44.78953,3.183513,1.788185,-2.670673
45.81049,3.180717,1.788706,-2.675508
Time,RRx,RRy,RRz
1.015216,337.0103,260.1134,0.9037383
2.036808,339.303,255.1883,10.2458
3.059085,343.7252,228.5943,359.8396
4.069881,339.642,285.2551,4.565529
5.091102,340.7657,293.1761,1.451072
6.104456,344.7866,275.6951,1.473602
7.125914,336.5908,281.7471,1.552598
8.146507,342.9681,269.5837,3.281818
9.157208,342.6817,215.8674,358.3457
10.16924,5.366447,232.9412,352.5625
11.19207,27.69007,214.8681,358.3479
12.21152,29.50649,214.949,1.589319
13.23492,38.7071,229.9462,5.592013
14.25607,19.3571,212.6924,1.69118
15.27894,9.322784,226.2191,338.7006
16.2999,30.56363,232.5035,345.2482
17.32173,13.41281,251.1185,1.077387
18.33376,21.53927,249.7936,359.3543
19.3544,15.12455,224.776,358.9416
20.37681,4.479015,216.1394,2.727766
21.39863,20.53039,231.2435,2.673975
22.42015,9.741765,251.5252,357.5358
23.43108,37.21972,241.7084,355.2238
24.44448,8.167835,254.303,357.3932
