Time,RPx,RPy,RPz
1.018186,2.115226,1.407569,-3.80699
2.029546,3.350651,1.204982,-3.041008
3.041309,4.375826,1.304085,-3.164488
4.061861,4.126186,1.575832,-4.34257
5.073675,3.827683,1.679368,-4.88821
6.095851,4.293016,1.893396,-4.558018
7.116469,6.088554,1.162063,-3.641041
8.128618,7.591983,0.561243,-2.793534
9.149527,6.875551,-0.08587456,-4.107594
10.16125,5.229702,-0.5104113,-6.323719
11.17321,3.509063,-0.7810395,-8.105015
12.18316,3.24345,-0.6853766,-8.152962
13.19463,3.443288,0.7153481,-6.691957
14.20596,2.973831,1.43639,-5.637309
15.22733,4.144505,0.997349,-5.357367
16.24872,5.884683,0.2794034,-5.614447
17.27084,4.889898,-0.6482724,-5.947399
18.29276,3.135129,-0.416363,-6.39198
19.31515,3.207883,-0.5727639,-6.163068
20.33524,2.529269,0.6380134,-5.129958
21.35722,2.221939,0.8630883,-4.934937
22.37942,3.093755,0.7789289,-4.418718
23.39145,4.723975,0.3525453,-4.661804
24.41294,4.498857,0.5671991,-4.979014
25.43258,2.737392,0.3769017,-5.392897
26.44444,2.065734,0.4615214,-5.49947
27.46631,3.277766,0.07533741,-4.839543
28.47692,2.705407,1.824314,-5.336596
29.49701,2.351931,2.040772,-5.189898
30.51846,3.707788,1.609167,-4.377555
31.5298,4.919743,1.054739,-4.065311
32.55167,4.110293,0.60427,-4.936774
33.56213,2.98111,0.6955885,-5.844388
34.57359,2.973436,0.6746538,-5.505539
35.59592,4.03781,0.2585661,-4.833047
36.61677,4.765783,0.001084983,-5.087426
37.63908,4.157294,0.6452627,-5.970831
38.66043,3.687288,1.096687,-6.248387
39.6825,2.911522,0.6286803,-6.143413
Time,RRx,RRy,RRz
1.018186,9.534998,227.1446,2.368691
2.029546,14.04761,213.4137,6.759723
3.041309,8.411266,217.2157,6.097895
4.061861,23.46533,230.853,6.263872
5.073675,28.03728,250.9696,3.925147
6.095851,359.3265,252.0615,357.2007
7.116469,330.4406,252.9232,351.1847
8.128618,10.75557,244.686,0.3736284
9.149527,4.121304,254.3315,2.594016
10.16125,6.401009,258.017,5.565192
11.17321,346.6985,319.2833,356.0032
12.18316,346.875,352.7925,347.7168
13.19463,342.2784,335.7545,354.916
14.20596,358.0406,318.5697,359.0317
15.22733,352.2299,275.8418,356.1345
16.24872,14.42024,263.8039,7.238545
17.27084,10.65333,274.5126,5.511894
18.29276,3.767399,287.6919,2.498581
19.31515,337.312,303.8365,355.4832
20.33524,346.0453,300.1456,357.5649
21.35722,352.3796,296.5493,357.9548
22.37942,330.7401,294.2093,356.1953
23.39145,354.1445,245.2747,8.16579
24.41294,13.60596,262.8433,0.7990772
25.43258,12.00353,269.4483,0.4328526
26.44444,7.980099,276.0186,0.01727262
27.46631,313.7299,252.7893,350.5614
28.47692,344.8738,257.1647,354.8156
29.49701,358.2351,283.7742,357.6928
30.51846,338.5298,341.3842,342.3374
31.5298,18.73712,230.5866,5.15946
32.55167,9.486421,244.6366,7.164049
33.56213,7.73574,262.3814,4.935582
34.57359,330.2011,315.1247,354.8175
35.59592,323.7089,264.9465,5.288495
36.61677,357.0701,238.9213,1.5916
37.63908,8.972085,264.9946,2.739813
38.66043,15.22996,272.7543,0.4654655
39.6825,27.11677,265.9118,5.020109
Time,RVx,RVy,RVz
1.018186,0.02730203,0.0164423,0.0839572
2.029546,1.235425,-0.2025864,0.7659817
3.041309,1.025175,0.09910274,-0.1234801
4.061861,-0.24964,0.2717466,-1.178082
5.073675,-0.2985024,0.1035368,-0.54564
6.095851,0.465333,0.2140273,0.3301921
7.116469,1.795537,-0.7313324,0.9169769
8.128618,1.503429,-0.6008204,0.847507
9.149527,-0.7164321,-0.6471176,-1.31406
10.16125,-1.645849,-0.4245367,-2.216125
11.17321,-1.72064,-0.2706282,-1.781296
12.18316,-0.2656131,0.09566283,-0.04794693
13.19463,0.1998382,1.400725,1.461004
14.20596,-0.4694571,0.7210418,1.054648
15.22733,1.170674,-0.439041,0.2799425
16.24872,1.740179,-0.7179456,-0.2570801
17.27084,-0.9947848,-0.9276758,-0.3329525
18.29276,-1.754769,0.2319094,-0.444581
19.31515,0.07275343,-0.1564009,0.2289124
20.33524,-0.6786134,1.210777,1.03311
21.35722,-0.3073301,0.2250749,0.1950207
22.37942,0.8718162,-0.08415943,0.5162191
23.39145,1.63022,-0.4263836,-0.2430854
24.41294,-0.2251186,0.2146537,-0.3172107
25.43258,-1.761465,-0.1902974,-0.4138823
26.44444,-0.6716578,0.0846197,-0.1065736
27.46631,1.212031,-0.386184,0.6599274
28.47692,-0.5723584,1.748977,-0.4970527
29.49701,-0.3534758,0.2164578,0.1466975
30.51846,1.355857,-0.4316053,0.8123431
31.5298,1.211955,-0.5544274,0.3122439
32.55167,-0.8094497,-0.4504693,-0.8714633
33.56213,-1.129184,0.09131855,-0.9076138
34.57359,-0.00767374,-0.02093476,0.3388491
35.59592,1.064374,-0.4160876,0.672492
36.61677,0.727973,-0.2574812,-0.2543793
37.63908,-0.608489,0.6441777,-0.8834047
38.66043,-0.470006,0.4514242,-0.2775559
39.6825,-0.7757664,-0.4680066,0.1049743
Time,RAVx,RAVy,RAz
1.018186,3.030221,-5.498962,-1.10498
2.029546,4.512611,-13.73091,4.391032
3.041309,-5.636343,3.802002,-0.661828
4.061861,15.05406,13.63739,0.165977
5.073675,4.571951,20.11655,-2.338725
6.095851,331.2892,1.091873,353.2755
7.116469,-28.88583,0.8617859,-6.015961
8.128618,-319.6851,-8.237244,-350.8111
9.149527,-6.634266,9.645477,2.220388
10.16125,2.279705,3.685547,2.971175
11.17321,340.2975,61.2663,350.438
