Time,Real Position
1.019181,2.265588 1.436201 -3.926957
2.029601,2.186209 1.366953 -3.700262
Time,Real Rotation
1.019181,356.4056 199.4883 7.532428
2.029601,19.21426 320.9317 357.2395
Time,Real Velocity
1.019181,-0.05323839 0.05577278 0.05638504
2.029601,-0.07937884 -0.0692482 0.2266955
Time,Real Angular Velocity
1.019181,337.1828 30.13336 -0.1793351
2.029601,-337.1913 121.4434 349.7071
Time,Simulated Movement
1.019181,337.1828 30.13336 -0.1793351
2.029601,-337.1913 121.4434 349.7071
Time,Simulated Velocity
1.019181,0 0 0
2.029601,0 0 0
Time,Left Controller Position
1.019181,337.1828 30.13336 -0.1793351
2.029601,-337.1913 121.4434 349.7071
Time,Left Controller Rotation
1.019181,318.5013 292.2864 25.31684
2.029601,320.0668 288.4617 34.33412
Time,Left Controller Velocity
1.019181,0.1247809 0.1692191 0.5965984
2.029601,-0.01126683 -0.005786538 -0.01793146
Time,Left Controller Angular Velocity
1.019181,318.5013 292.2864 25.31684
2.029601,1.565552 -3.824707 9.017277
Time,Right Controller Position
1.019181,1.690677 1.015173 -4.016666
2.029601,1.692258 1.012962 -4.021607
Time,Right Controller Rotation
1.019181,344.9858 211.9234 2.842406
2.029601,346.363 215.9679 4.854254
Time,Right Controller Velocity
1.019181,-0.1839966 0.07767236 0.3206921
2.029601,0.001580119 -0.002210379 -0.004941463
Time,Right Controller Angular Velocity
1.019181,-1.301819 -104.3312 -1.792991
2.029601,1.377167 4.044449 2.011848
Task,Time Taken
