Time,Real Position
1.040765,2.164264 1.357481 -3.872494
2.062759,2.207675 1.429709 -3.835852
3.073334,3.297191 1.109984 -2.734224
4.083764,4.893332 0.9656148 -1.640749
5.105557,4.603649 2.073447 -2.864717
6.11565,3.719214 2.241868 -1.956402
7.126478,2.985054 1.86056 0.7546763
8.139544,3.93771 1.560746 -0.5854678
9.161217,4.166958 1.514178 -1.026749
10.17522,4.222262 1.458127 -1.144725
Time,Real Rotation
1.040765,33.38335 239.6266 1.936944
2.062759,2.223088 239.9497 0.2537845
3.073334,326.5507 225.3192 0.9140944
4.083764,2.55828 227.9863 2.064295
5.105557,5.155867 233.4585 4.798585
6.11565,0.09581319 231.9223 3.146266
7.126478,3.831581 203.826 10.62816
8.139544,353.1599 214.2936 6.380476
9.161217,349.0583 240.3316 2.778317
10.17522,15.28893 175.772 5.447135
Time,Real Velocity
1.040765,-0.03297329 -1.13118 1.496498
2.062759,0.04341102 0.07222784 0.03664207
3.073334,1.089516 -0.3197254 1.101628
4.083764,1.596141 -0.144369 1.093475
5.105557,-0.2896824 1.107832 -1.223969
6.11565,-0.8844349 0.168421 0.9083152
7.126478,-0.7341602 -0.3813084 2.711079
8.139544,0.952656 -0.2998136 -1.340144
9.161217,0.2292478 -0.04656816 -0.4412808
10.17522,0.05530405 -0.05605149 -0.1179762
Time,Real Angular Velocity
1.040765,-292.4052 176.5777 -2.121113
2.062759,-31.16026 0.3230743 -1.683159
3.073334,324.3276 -14.63054 0.6603099
4.083764,-323.9924 2.667145 1.1502
5.105557,2.597587 5.472198 2.73429
6.11565,-5.060054 -1.536194 -1.652319
7.126478,3.735768 -28.09636 7.481891
8.139544,349.3283 10.46767 -4.247681
9.161217,-4.101654 26.03795 -3.602159
10.17522,-333.7693 -64.55962 2.668818
Time,Simulated Movement
1.040765,-292.4052 176.5777 -2.121113
2.062759,-31.16026 0.3230743 -1.683159
3.073334,324.3276 -14.63054 0.6603099
4.083764,-323.9924 2.667145 1.1502
5.105557,2.597587 5.472198 2.73429
6.11565,-5.060054 -1.536194 -1.652319
7.126478,3.735768 -28.09636 7.481891
8.139544,349.3283 10.46767 -4.247681
9.161217,-4.101654 26.03795 -3.602159
10.17522,-333.7693 -64.55962 2.668818
Time,Simulated Velocity
1.040765,0 0 0
2.062759,0 0 0
3.073334,1.031072 -0.3731474 1.08336
4.083764,1.603904 -0.09259564 1.120826
5.105557,-0.2864881 1.112036 -1.20388
6.11565,-0.8949215 0.1606139 0.866899
7.126478,-0.7827852 -0.3721644 2.768352
8.139544,0.9682119 -0.3193924 -1.356458
9.161217,0.2764704 -0.05126977 -0.4582152
10.17522,0 0 0
Time,Left Controller Position
1.040765,-292.4052 176.5777 -2.121113
2.062759,-31.16026 0.3230743 -1.683159
3.073334,324.3276 -14.63054 0.6603099
4.083764,-323.9924 2.667145 1.1502
5.105557,2.597587 5.472198 2.73429
6.11565,-5.060054 -1.536194 -1.652319
7.126478,3.735768 -28.09636 7.481891
8.139544,349.3283 10.46767 -4.247681
9.161217,-4.101654 26.03795 -3.602159
10.17522,-333.7693 -64.55962 2.668818
Time,Left Controller Rotation
1.040765,324.3486 257.5898 337.7763
2.062759,308.0378 254.2259 346.334
3.073334,301.1246 251.2112 343.56
4.083764,312.746 279.6258 332.1969
5.105557,314.8252 356.8687 332.4705
6.11565,302.9314 188.6783 41.83247
7.126478,288.8669 306.0312 1.609425
8.139544,308.9207 284.6466 56.32315
9.161217,315.1727 298.7659 20.63654
10.17522,316.522 297.3997 18.92786
Time,Left Controller Velocity
1.040765,0.09827185 0.2457392 0.305007
2.062759,-0.01544881 0.07815301 0.0329318
3.073334,0.9522905 -0.3539563 1.036684
4.083764,1.622365 -0.2394242 1.21106
5.105557,-0.08681297 1.119325 -0.9715607
6.11565,-0.8555121 0.2218248 0.4499621
7.126478,-0.8367419 -0.3089429 3.145381
8.139544,0.9280879 -0.3806508 -1.289896
9.161217,0.2515507 -0.1278337 -0.4768784
10.17522,-0.006322145 -0.01029491 -0.01160216
Time,Left Controller Angular Velocity
1.040765,324.3486 257.5898 337.7763
2.062759,-16.31085 -3.363922 8.55777
3.073334,-6.913147 -3.01474 -2.774048
4.083764,11.62137 28.41464 -11.3631
5.105557,2.079254 77.24295 0.2735901
6.11565,-11.8938 -168.1904 -290.638
7.126478,-14.06448 117.3529 -40.22304
8.139544,20.05371 -21.38452 54.71373
9.161217,6.252075 14.11929 -35.68661
10.17522,1.349304 -1.366211 -1.708681
Time,Right Controller Position
1.040765,1.834365 1.127669 -3.784726
2.062759,1.857261 1.348569 -3.845382
3.073334,3.22002 0.8751529 -2.845285
4.083764,4.646395 0.89776 -1.776544
5.105557,4.505975 1.860859 -3.083545
6.11565,3.463638 2.00713 -1.511517
7.126478,2.598849 1.718765 0.7439175
8.139544,3.931705 1.311764 -0.7526765
9.161217,3.606309 1.14046 -1.158359
10.17522,3.595212 1.085913 -1.183702
Time,Right Controller Rotation
1.040765,43.83329 228.6817 85.0133
2.062759,304.383 224.1551 14.2802
3.073334,328.6188 144.7211 30.42536
4.083764,314.9939 171.4137 45.27035
5.105557,346.4182 129.2233 35.00739
6.11565,334.9982 3.180449 263.6124
7.126478,298.4342 247.6724 315.2154
8.139544,331.1167 113.7002 20.04204
9.161217,336.5255 214.366 351.5884
10.17522,343.9788 213.9373 359.8569
Time,Right Controller Velocity
1.040765,-0.04030859 0.1901687 0.5526316
2.062759,0.02289593 0.2208999 -0.06065536
3.073334,1.362759 -0.4734161 1.000097
4.083764,1.426374 0.02260709 1.068741
5.105557,-0.1404195 0.9630994 -1.307001
6.11565,-1.042337 0.146271 1.572028
7.126478,-0.8647885 -0.2883658 2.255434
8.139544,1.332856 -0.4070002 -1.496594
9.161217,-0.3253968 -0.1713043 -0.4056826
10.17522,-0.01109624 -0.05454707 -0.02534294
Time,Right Controller Angular Velocity
1.040765,-302.4544 -87.57291 80.3779
2.062759,260.5497 -4.526566 -70.7331
3.073334,24.23581 -79.43399 16.14516
4.083764,-13.62488 26.69252 14.84499
5.105557,31.42435 -42.19038 -10.26297
6.11565,-11.42007 -126.0428 228.605
7.126478,-36.56393 244.4919 51.603
8.139544,32.68246 -133.9722 -295.1733
9.161217,5.408783 100.6659 331.5463
10.17522,7.453308 -0.428772 8.268494
Task,Time Taken
