Time,Real Position
85.01783,2.112246 1.3659 -3.735463
177.0291,2.816767 0.9297015 -2.993639
268.0408,4.359696 0.3090898 -1.746497
358.0634,5.653199 -0.2972233 -0.1732364
448.0861,6.756544 -0.6253302 1.696311
538.1069,4.827758 1.6337 -0.1107545
630.128,2.228543 2.815637 -3.046661
719.1393,1.9185 2.823689 -3.35631
806.1509,1.807029 2.802678 -3.47393
895.1657,1.808726 2.807676 -3.466668
984.1852,1.800895 2.454991 -3.119735
1075.199,2.728004 1.398915 -1.725548
1164.212,2.738928 1.756517 -1.999989
1254.231,1.799571 2.005158 -3.540096
1344.242,1.811229 1.693034 -3.523656
1434.254,2.874402 0.4021049 -2.59129
1524.274,3.568586 0.8148226 -2.82641
1611.296,3.290064 1.249119 -4.025085
1702.318,3.267405 1.017262 -3.696934
1788.331,4.005686 3.218651E-06 -2.145133
1881.349,3.32215 1.41515 -2.165377
1973.37,1.839716 2.629162 -3.347112
2058.385,1.793806 2.594905 -3.007685
2147.404,3.14791 2.064698 -1.742651
2239.427,3.471534 1.369723 -1.049264
2329.446,2.771891 1.500649 -2.536636
2419.472,2.007167 1.651934 -4.022498
2510.495,1.69796 1.739684 -4.582913
2600.515,1.893699 1.179104 -3.545456
2691.537,2.920647 1.139851 -2.504312
2782.548,2.713875 2.043671 -3.550077
2869.571,2.145401 1.922 -3.596594
2962.592,1.797985 1.794947 -3.814268
3052.607,2.408617 0.9850211 -2.555843
3140.624,3.240319 0.3702477 -1.152686
3230.638,4.080891 1.26412 -0.349998
3317.661,3.014997 2.942183 -2.402267
3404.679,2.842784 2.867017 -2.311766
3493.7,3.845642 2.149038 -1.330732
3582.721,3.280262 1.402624 -2.68518
3671.735,2.670996 1.187612 -4.090498
3762.756,2.676785 0.7264997 -3.188111
3852.775,2.688882 1.534541 -3.550148
Time,Real Rotation
85.01783,23.28479 265.9096 349.8705
177.0291,358.3895 202.9207 5.725243
268.0408,5.942544 212.5807 4.256077
358.0634,15.44248 221.3675 355.1123
448.0861,350.8661 215.6402 355.1355
538.1069,359.2813 224.3864 356.9638
630.128,2.998097 223.699 359.8814
719.1393,14.64681 221.9103 3.331683
806.1509,14.4921 219.4576 4.014044
895.1657,12.21687 219.0675 4.502871
984.1852,4.305295 205.097 4.901973
1075.199,355.7745 200.7052 6.385498
1164.212,2.584126 212.96 3.74365
1254.231,6.070945 219.1014 2.585255
1344.242,9.656964 211.2836 5.055639
1434.254,358.808 211.4454 2.438088
1524.274,359.7654 209.7793 4.601216
1611.296,17.07427 235.7352 1.021246
1702.318,1.716094 224.6043 0.2356117
1788.331,342.6364 219.0982 352.8807
1881.349,349.1019 227.9175 352.6864
1973.37,3.084258 227.4492 356.0162
2058.385,1.360818 223.2071 1.147821
2147.404,357.0771 198.9581 5.974096
2239.427,4.98676 211.3003 3.182763
2329.446,5.086219 216.9099 3.095682
2419.472,4.110259 217.6746 3.566265
2510.495,3.651251 222.575 2.283677
2600.515,332.0605 198.7131 3.423563
2691.537,336.5941 201.3867 3.76099
2782.548,19.48341 227.2085 1.888881
2869.571,13.00301 227.0508 0.6053626
2962.592,7.549493 220.9885 1.713561
3052.607,347.0406 199.5036 2.88585
3140.624,341.8053 215.4471 0.232615
3230.638,349.2077 209.6358 2.37645
3317.661,4.150829 230.5412 3.372585
3404.679,7.362638 208.8335 5.964556
3493.7,23.06767 207.0266 10.11576
3582.721,18.73646 211.7882 4.700873
3671.735,11.5142 218.1221 4.40787
3762.756,318.0607 206.9366 354.8275
3852.775,3.154201 206.603 4.467857
Time,Real Velocity
85.01783,-0.04015803 0.06871605 -0.1000791
177.0291,0.7045209 -0.4361983 0.7418234
268.0408,1.542929 -0.6206117 1.247142
358.0634,1.293503 -0.6063132 1.573261
448.0861,1.103344 -0.3281069 1.869547
538.1069,-1.928786 2.25903 -1.807065
630.128,-2.599215 1.181937 -2.935906
719.1393,-0.3100435 0.008052349 -0.3096497
806.1509,-0.1114713 -0.02101135 -0.11762
895.1657,0.001697659 0.004998446 0.007261992
984.1852,-0.007830858 -0.352685 0.3469338
1075.199,0.9271091 -1.056076 1.394187
1164.212,0.01092339 0.3576022 -0.2744415
1254.231,-0.939357 0.2486409 -1.540107
1344.242,0.01165819 -0.312124 0.01644015
1434.254,1.063173 -1.290929 0.9323659
1524.274,0.6941843 0.4127178 -0.2351203
1611.296,-0.2785215 0.4342961 -1.198675
1702.318,-0.02265906 -0.2318569 0.3281519
